Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,serial_number,1,,
Data,0,file_id,type,"4",,manufacturer,"255",,product,"0",,time_created,"995749880",,serial_number,"1457061125",,
Definition,0,device_info,device_index,1,,manufacturer,1,,product,1,,product_name,13,,serial_number,1,,software_version,1,,timestamp,1,,
Data,0,device_info,device_index,"0",,manufacturer,"255",,product,"0",,product_name,"FIT Cookbook",,serial_number,"1457061125",,software_version,"1.0",,timestamp,"995749880",s,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,,,,,,,,,,,,,
Data,0,event,timestamp,"995749880",s,event,"0",,event_type,"0",,,,,,,,,,,,,,
Definition,0,developer_data_id,application_id,16,,developer_data_index,1,,application_version,1,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,"3|2|1|0|5|4|7|6|8|9|10|11|12|13|14|15",,developer_data_index,"0",,application_version,"110",,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,17,,units,10,,native_mesg_num,1,,,,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"0",,fit_base_type_id,"136",,field_name,"Doughnuts Earned",,units,"doughnuts",,native_mesg_num,"18",,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,11,,units,4,,native_field_num,1,,native_mesg_num,1,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"1",,fit_base_type_id,"2",,field_name,"Heart Rate",,units,"bpm",,native_field_num,"3",,native_mesg_num,"20",,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,heart_rate,1,,cadence,1,,power,1,,altitude,1,,position_lat,1,,position_long,1,,Heart Rate,1,,
Data,0,record,timestamp,"995749880",s,distance,"0.0",m,speed,"1.0",m/s,heart_rate,"126",bpm,cadence,"0",rpm,power,"150",watts,altitude,"127.0",m,position_lat,"0",semicircles,position_long,"0",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"127.0",m,Heart Rate,"126",bpm,
Data,0,record,timestamp,"995749881",s,distance,"1.0",m,speed,"1.0",m/s,heart_rate,"134",bpm,cadence,"1",rpm,power,"150",watts,altitude,"126.0",m,position_lat,"0",semicircles,position_long,"107",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"126.0",m,Heart Rate,"134",bpm,
Data,0,record,timestamp,"995749882",s,distance,"2.0",m,speed,"1.0",m/s,heart_rate,"142",bpm,cadence,"2",rpm,power,"150",watts,altitude,"125.0",m,position_lat,"0",semicircles,position_long,"214",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"125.0",m,Heart Rate,"142",bpm,
Data,0,record,timestamp,"995749883",s,distance,"3.0",m,speed,"1.0",m/s,heart_rate,"150",bpm,cadence,"3",rpm,power,"150",watts,altitude,"124.0",m,position_lat,"0",semicircles,position_long,"322",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"124.0",m,Heart Rate,"150",bpm,
Data,0,record,timestamp,"995749884",s,distance,"4.0",m,speed,"1.0",m/s,heart_rate,"158",bpm,cadence,"4",rpm,power,"150",watts,altitude,"123.0",m,position_lat,"0",semicircles,position_long,"429",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"123.0",m,Heart Rate,"158",bpm,
Data,0,record,timestamp,"995749885",s,distance,"5.0",m,speed,"1.0",m/s,heart_rate,"166",bpm,cadence,"5",rpm,power,"150",watts,altitude,"122.0",m,position_lat,"0",semicircles,position_long,"536",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"122.0",m,Heart Rate,"166",bpm,
Data,0,record,timestamp,"995749886",s,distance,"6.0",m,speed,"1.0",m/s,heart_rate,"173",bpm,cadence,"6",rpm,power,"150",watts,altitude,"121.0",m,position_lat,"0",semicircles,position_long,"643",semicircles,enhanced_speed,"1.0",m/s,enhanced_altitude,"121.0",m,Heart Rate,"173",bpm,
