Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,number,1,,type,1,,
Data,0,file_id,serial_number,"3882708276",,time_created,"788594400",,manufacturer,"1",,garmin_product,"1837",,number,"168",,type,"32",,
Definition,0,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,battery_voltage,1,,hardware_version,1,,
Data,0,device_info,timestamp,"788814840",s,serial_number,"3882708276",,manufacturer,"0",,product,"1837",,software_version,"3.6",,battery_voltage,"5.875",V,hardware_version,"1",,
Definition,1,monitoring,timestamp,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Definition,3,monitoring,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,
Definition,4,monitoring,cycles,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,
Definition,6,event,timestamp,1,,data16,1,,event,1,,event_type,1,,,,,,,,,,,
Definition,0,monitoring_info,timestamp,1,,local_timestamp,1,,cycles_to_distance,2,,cycles_to_calories,2,,resting_metabolic_rate,1,,activity_type,2,,,,,
Data,0,monitoring_info,timestamp,"788594400",s,local_timestamp,"788572800",s,cycles_to_distance,"1.512|1.944",m/cycle,cycles_to_calories,"0.0438|0.1186",kcal/cycle,resting_metabolic_rate,"2042",kcal / day,activity_type,"6|1",,,,,
Definition,3,monitoring,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp_16,"27492",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"27612",s,current_activity_type_intensity,"72",,activity_type,"8",,intensity,"2.0",,,,,,,,,,,
Data,3,monitoring,timestamp_16,"29172",s,current_activity_type_intensity,"8",,activity_type,"8",,intensity,"0.0",,,,,,,,,,,
Definition,4,monitoring,cycles,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,,,,,,,
