Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,serial_number,1,,
Data,0,file_id,type,"4",,manufacturer,"255",,product,"0",,time_created,"968191204",,serial_number,"468127667",,
Definition,0,device_info,device_index,1,,manufacturer,1,,product,1,,product_name,13,,serial_number,1,,software_version,1,,timestamp,1,,
Data,0,device_info,device_index,"0",,manufacturer,"255",,product,"0",,product_name,"FIT Cookbook",,serial_number,"468127667",,software_version,"1.0",,timestamp,"968191204",s,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,,,,,,,,,,,,,
Data,0,event,timestamp,"968191204",s,event,"0",,event_type,"0",,,,,,,,,,,,,,
Definition,0,developer_data_id,application_id,16,,developer_data_index,1,,application_version,1,,,,,,,,,,,,,,
Data,0,developer_data_id,application_id,"3|2|1|0|5|4|7|6|8|9|10|11|12|13|14|15",,developer_data_index,"0",,application_version,"110",,,,,,,,,,,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,17,,units,10,,native_mesg_num,1,,,,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"0",,fit_base_type_id,"136",,field_name,"Doughnuts Earned",,units,"doughnuts",,native_mesg_num,"18",,,,,
Definition,0,field_description,developer_data_index,1,,field_definition_number,1,,fit_base_type_id,1,,field_name,11,,units,4,,native_field_num,1,,native_mesg_num,1,,
Data,0,field_description,developer_data_index,"0",,field_definition_number,"1",,fit_base_type_id,"2",,field_name,"Heart Rate",,units,"bpm",,native_field_num,"3",,native_mesg_num,"20",,
Definition,0,record,timestamp,1,,distance,1,,speed,1,,heart_rate,1,,cadence,1,,power,1,,altitude,1,,Heart Rate,1,,
Data,0,record,timestamp,"968191204",s,distance,"0.0",m,speed,"1.0",m/s,heart_rate,"126",bpm,cadence,"0",rpm,power,"150",watts,altitude,"127.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"127.0",m,Heart Rate,"126",bpm,
Data,0,record,timestamp,"968191205",s,distance,"1.0",m,speed,"1.0",m/s,heart_rate,"134",bpm,cadence,"1",rpm,power,"150",watts,altitude,"126.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"126.0",m,Heart Rate,"134",bpm,
Data,0,record,timestamp,"968191206",s,distance,"2.0",m,speed,"1.0",m/s,heart_rate,"142",bpm,cadence,"2",rpm,power,"150",watts,altitude,"125.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"125.0",m,Heart Rate,"142",bpm,
Data,0,record,timestamp,"968191207",s,distance,"3.0",m,speed,"1.0",m/s,heart_rate,"150",bpm,cadence,"3",rpm,power,"150",watts,altitude,"124.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"124.0",m,Heart Rate,"150",bpm,
Data,0,record,timestamp,"968191208",s,distance,"4.0",m,speed,"1.0",m/s,heart_rate,"158",bpm,cadence,"4",rpm,power,"150",watts,altitude,"123.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"123.0",m,Heart Rate,"158",bpm,
Data,0,record,timestamp,"968191209",s,distance,"5.0",m,speed,"1.0",m/s,heart_rate,"166",bpm,cadence,"5",rpm,power,"150",watts,altitude,"122.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"122.0",m,Heart Rate,"166",bpm,
Data,0,record,timestamp,"968191210",s,distance,"6.0",m,speed,"1.0",m/s,heart_rate,"173",bpm,cadence,"6",rpm,power,"150",watts,altitude,"121.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"121.0",m,Heart Rate,"173",bpm,
Data,0,record,timestamp,"968191211",s,distance,"7.0",m,speed,"1.0",m/s,heart_rate,"181",bpm,cadence,"7",rpm,power,"150",watts,altitude,"120.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"120.0",m,Heart Rate,"181",bpm,
Data,0,record,timestamp,"968191212",s,distance,"8.0",m,speed,"1.0",m/s,heart_rate,"188",bpm,cadence,"8",rpm,power,"150",watts,altitude,"119.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"119.0",m,Heart Rate,"188",bpm,
Data,0,record,timestamp,"968191213",s,distance,"9.0",m,speed,"1.0",m/s,heart_rate,"195",bpm,cadence,"9",rpm,power,"150",watts,altitude,"118.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"118.0",m,Heart Rate,"195",bpm,
Data,0,record,timestamp,"968191214",s,distance,"10.0",m,speed,"1.0",m/s,heart_rate,"201",bpm,cadence,"10",rpm,power,"150",watts,altitude,"117.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"117.0",m,Heart Rate,"201",bpm,
Data,0,record,timestamp,"968191215",s,distance,"11.0",m,speed,"1.0",m/s,heart_rate,"207",bpm,cadence,"11",rpm,power,"150",watts,altitude,"116.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"116.0",m,Heart Rate,"207",bpm,
Data,0,record,timestamp,"968191216",s,distance,"12.0",m,speed,"1.0",m/s,heart_rate,"213",bpm,cadence,"12",rpm,power,"150",watts,altitude,"115.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"115.0",m,Heart Rate,"213",bpm,
Data,0,record,timestamp,"968191217",s,distance,"13.0",m,speed,"1.0",m/s,heart_rate,"219",bpm,cadence,"13",rpm,power,"150",watts,altitude,"114.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"114.0",m,Heart Rate,"219",bpm,
Data,0,record,timestamp,"968191218",s,distance,"14.0",m,speed,"1.0",m/s,heart_rate,"224",bpm,cadence,"14",rpm,power,"150",watts,altitude,"113.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"113.0",m,Heart Rate,"224",bpm,
Data,0,record,timestamp,"968191219",s,distance,"15.0",m,speed,"1.0",m/s,heart_rate,"229",bpm,cadence,"15",rpm,power,"150",watts,altitude,"112.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"112.0",m,Heart Rate,"229",bpm,
Data,0,record,timestamp,"968191220",s,distance,"16.0",m,speed,"1.0",m/s,heart_rate,"234",bpm,cadence,"16",rpm,power,"150",watts,altitude,"111.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"111.0",m,Heart Rate,"234",bpm,
Data,0,record,timestamp,"968191221",s,distance,"17.0",m,speed,"1.0",m/s,heart_rate,"238",bpm,cadence,"17",rpm,power,"150",watts,altitude,"110.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"110.0",m,Heart Rate,"238",bpm,
Data,0,record,timestamp,"968191222",s,distance,"18.0",m,speed,"1.0",m/s,heart_rate,"241",bpm,cadence,"18",rpm,power,"150",watts,altitude,"109.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"109.0",m,Heart Rate,"241",bpm,
Data,0,record,timestamp,"968191223",s,distance,"19.0",m,speed,"1.0",m/s,heart_rate,"245",bpm,cadence,"19",rpm,power,"150",watts,altitude,"108.0",m,enhanced_speed,"1.0",m/s,enhanced_altitude,"108.0",m,Heart Rate,"245",bpm,
