Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,
Definition,0,file_id,type,1,,manufacturer,1,,product,1,,time_created,1,,
Data,0,file_id,type,"4",,manufacturer,"15",,garmin_product,"1",,time_created,"702940946",,
Definition,0,event,timestamp,1,,event,1,,event_type,1,,data,1,,event_group,1,,
Data,0,event,timestamp,"702940946",s,event,"0",,event_type,"0",,timer_trigger,"0",,event_group,"0",,
Definition,0,record,timestamp,1,,altitude,1,,distance,1,,speed,1,,,,,
Data,0,record,timestamp,"702940946",s,altitude,"278.20000000000005",m,distance,"0.02",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940947",s,altitude,"278.20000000000005",m,distance,"0.02",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940948",s,altitude,"278.20000000000005",m,distance,"0.02",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940949",s,altitude,"278.20000000000005",m,distance,"0.21",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940950",s,altitude,"278.20000000000005",m,distance,"0.28",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940951",s,altitude,"278.20000000000005",m,distance,"0.35",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940952",s,altitude,"278.20000000000005",m,distance,"0.41",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940953",s,altitude,"278.20000000000005",m,distance,"1.14",m,speed,"0.0",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.0",m/s,
Data,0,record,timestamp,"702940954",s,altitude,"278.20000000000005",m,distance,"1.85",m,speed,"0.092",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.092",m/s,
Data,0,record,timestamp,"702940955",s,altitude,"278.20000000000005",m,distance,"2.75",m,speed,"0.152",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.152",m/s,
Data,0,record,timestamp,"702940956",s,altitude,"278.20000000000005",m,distance,"3.51",m,speed,"0.209",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.209",m/s,
Data,0,record,timestamp,"702940957",s,altitude,"278.20000000000005",m,distance,"4.22",m,speed,"0.262",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.262",m/s,
Data,0,record,timestamp,"702940958",s,altitude,"278.20000000000005",m,distance,"4.93",m,speed,"0.307",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.307",m/s,
Data,0,record,timestamp,"702940959",s,altitude,"278.20000000000005",m,distance,"5.73",m,speed,"0.368",m/s,enhanced_altitude,"278.20000000000005",m,enhanced_speed,"0.368",m/s,
