Type Name;Base Type;Value Name;Value;Comment;
file;enum;;;;
;;device;1;Read only, single file. Must be in root directory.;
;;settings;2;Read/write, single file. Directory=Settings;
;;sport;3;Read/write, multiple files, file number = sport type. Directory=Sports;
;;activity;4;Read/erase, multiple files. Directory=Activities;
;;workout;5;Read/write/erase, multiple files. Directory=Workouts;
;;course;6;Read/write/erase, multiple files. Directory=Courses;
;;schedules;7;Read/write, single file. Directory=Schedules;
;;weight;9;Read only, single file. Circular buffer. All message definitions at start of file. Directory=Weight;
;;totals;10;Read only, single file. Directory=Totals;
;;goals;11;Read/write, single file. Directory=Goals;
;;blood_pressure;14;Read only. Directory=Blood Pressure;
;;monitoring_a;15;Read only. Directory=Monitoring. File number=sub type.;
;;activity_summary;20;Read/erase, multiple files. Directory=Activities;
;;monitoring_daily;28;;
;;monitoring_b;32;Read only. Directory=Monitoring. File number=identifier;
;;segment;34;Read/write/erase. Multiple Files.  Directory=Segments;
;;segment_list;35;Read/write/erase. Single File.  Directory=Segments;
;;mfg_range_min;0xF7;0xF7 - 0xFE reserved for manufacturer specific file types;
;;mfg_range_max;0xFE;0xF7 - 0xFE reserved for manufacturer specific file types;
;;;;;
mesg_num;uint16;;;;
;;file_id;0;;
;;capabilities;1;;
;;device_settings;2;;
;;user_profile;3;;
;;hrm_profile;4;;
;;sdm_profile;5;;
;;bike_profile;6;;
;;zones_target;7;;
;;hr_zone;8;;
;;power_zone;9;;
;;met_zone;10;;
;;sport;12;;
;;goal;15;;
;;session;18;;
;;lap;19;;
;;record;20;;
;;event;21;;
;;device_info;23;;
;;workout;26;;
;;workout_step;27;;
;;schedule;28;;
;;weight_scale;30;;
;;course;31;;
;;course_point;32;;
;;totals;33;;
;;activity;34;;
;;software;35;;
;;file_capabilities;37;;
;;mesg_capabilities;38;;
;;field_capabilities;39;;
;;file_creator;49;;
;;blood_pressure;51;;
;;speed_zone;53;;
;;monitoring;55;;
;;training_file;72;;
;;hrv;78;;
;;length;101;;
;;monitoring_info;103;;
;;pad;105;;
;;slave_device;106;;
;;cadence_zone;131;;
;;segment_lap;142;;
;;memo_glob;145;;
;;segment_id;148;;
;;segment_leaderboard_entry;149;;
;;segment_point;150;;
;;segment_file;151;;
;;gps_metadata;160;;
;;camera_event;161;;
;;timestamp_correlation;162;;
;;gyroscope_data;164;;
;;accelerometer_data;165;;
;;three_d_sensor_calibration;167;;
;;video_frame;169;;
;;obdii_data;174;;
;;nmea_sentence;177;;
;;aviation_attitude;178;;
;;video;184;;
;;video_title;185;;
;;video_description;186;;
;;video_clip;187;;
;;mfg_range_min;0xFF00;0xFF00 - 0xFFFE reserved for manufacturer specific messages;
;;mfg_range_max;0xFFFE;0xFF00 - 0xFFFE reserved for manufacturer specific messages;
;;;;;
checksum;uint8;;;;
;;clear;0;Allows clear of checksum for flash memory where can only write 1 to 0 without erasing sector.;
;;ok;1;Set to mark checksum as valid if computes to invalid values 0 or 0xFF.  Checksum can also be set to ok to save encoding computation time.;
;;;;;
file_flags;uint8z;;;;
;;read;0x02;;
;;write;0x04;;
;;erase;0x08;;
;;;;;
mesg_count;enum;;;;
;;num_per_file;0;;
;;max_per_file;1;;
;;max_per_file_type;2;;
;;;;;
date_time;uint32;;;seconds since UTC 00:00 Dec 31 1989;
;;min;0x10000000;if date_time is < 0x10000000 then it is system time (seconds from device power on);
;;;;;
local_date_time;uint32;;;seconds since 00:00 Dec 31 1989 in local time zone;
;;min;0x10000000;if date_time is < 0x10000000 then it is system time (seconds from device power on);
;;;;;
message_index;uint16;;;;
;;selected;0x8000;message is selected if set;
;;reserved;0x7000;reserved (default 0);
;;mask;0x0FFF;index;
;;;;;
device_index;uint8;;;;
;;creator;0;Creator of the file is always device index 0.;
;;;;;
gender;enum;;;;
;;female;0;;
;;male;1;;
;;;;;
language;enum;;;;
;;english;0;;
;;french;1;;
;;italian;2;;
;;german;3;;
;;spanish;4;;
;;croatian;5;;
;;czech;6;;
;;danish;7;;
;;dutch;8;;
;;finnish;9;;
;;greek;10;;
;;hungarian;11;;
;;norwegian;12;;
;;polish;13;;
;;portuguese;14;;
;;slovakian;15;;
;;slovenian;16;;
;;swedish;17;;
;;russian;18;;
;;turkish;19;;
;;latvian;20;;
;;ukrainian;21;;
;;arabic;22;;
;;farsi;23;;
;;bulgarian;24;;
;;romanian;25;;
;;custom;254;;
;;;;;
time_zone;enum;;;;
;;almaty;0;;
;;bangkok;1;;
;;bombay;2;;
;;brasilia;3;;
;;cairo;4;;
;;cape_verde_is;5;;
;;darwin;6;;
;;eniwetok;7;;
;;fiji;8;;
;;hong_kong;9;;
;;islamabad;10;;
;;kabul;11;;
;;magadan;12;;
;;mid_atlantic;13;;
;;moscow;14;;
;;muscat;15;;
;;newfoundland;16;;
;;samoa;17;;
;;sydney;18;;
;;tehran;19;;
;;tokyo;20;;
;;us_alaska;21;;
;;us_atlantic;22;;
;;us_central;23;;
;;us_eastern;24;;
;;us_hawaii;25;;
;;us_mountain;26;;
